producto,precioFinal,fechaPublicacion
LPG (70-30),243.8958,2016-08-05
LPG (rico en propano),0.0,2016-08-05
Av-Gas          ,930.0,2016-08-05
Jet fuel A-1,490.0,2016-08-05
Nafta Pesada    ,0.0,2016-08-05
Gasolina súper,589.0,2016-07-29
Gasolina plus 91,562.0,2016-07-29
Gasolina plus 91 pescadores,0.0,2016-07-29
Diésel 50 ppm de azufre,447.0,2016-07-29
Diésel pescadores,0.0,2016-07-29
Diésel 15,444.0,2016-07-29
Diésel térmico,0.0,2016-07-29
Diésel marino,0.0,2016-07-29
Keroseno,369.0,2016-07-29
Búnker,0.0,2016-07-29
Búnker de bajo azufre,0.0,2016-07-29
IFO 380,0.0,2016-07-29
Asfalto,0.0,2016-07-29
Diésel pesado,0.0,2016-07-29
Emulsión asfáltica,0.0,2016-07-29
LPG (70-30),243.64762,2016-07-29
LPG (rico en propano),0.0,2016-07-29
Av-Gas,930.0,2016-07-29
Jet fuel A-1,490.0,2016-07-29
Nafta Pesada,0.0,2016-07-29
Gasolina súper,602.0,2016-06-30
Gasolina plus 91,575.0,2016-06-30
Gasolina plus 91 pescadores,0.0,2016-06-30
Diésel 50 ppm de azufre,451.0,2016-06-30
Diésel pescadores,0.0,2016-06-30
Diésel 15,447.0,2016-06-30
Diésel térmico,0.0,2016-06-30
Diésel marino,0.0,2016-06-30
Keroseno,370.0,2016-06-30
Búnker,0.0,2016-06-30
Búnker de bajo azufre,0.0,2016-06-30
IFO 380,0.0,2016-06-30
Asfalto,0.0,2016-06-30
Diésel pesado,0.0,2016-06-30
Emulsión asfáltica,0.0,2016-06-30
LPG (70-30),240.8884,2016-06-30
LPG (rico en propano),0.0,2016-06-30
Av-Gas,944.0,2016-06-30
Jet fuel A-1,491.0,2016-06-30
Nafta Pesada,0.0,2016-06-30
Gasolina súper,518.0,2016-06-02
Gasolina plus 91,498.0,2016-06-02
Gasolina plus 91 pescadores,0.0,2016-06-02
Diésel 50 ppm de azufre,380.0,2016-06-02
Diésel pescadores,0.0,2016-06-02
Diésel 15,422.0,2016-06-02
Diésel térmico,0.0,2016-06-02
Diésel marino,0.0,2016-06-02
Keroseno,343.0,2016-06-02
Búnker,0.0,2016-06-02
Búnker de bajo azufre,0.0,2016-06-02
IFO 380,0.0,2016-06-02
Asfalto,0.0,2016-06-02
Diésel pesado,0.0,2016-06-02
Emulsión asfáltica,0.0,2016-06-02
LPG (70-30),238.1158,2016-06-02
LPG (rico en propano),0.0,2016-06-02
Av-Gas,819.0,2016-06-02
Jet fuel A-1,373.0,2016-06-02
Nafta Pesada,0.0,2016-06-02
Gasolina súper,502.0,2016-05-05
Gasolina plus 91,483.0,2016-05-05
Gasolina plus 91 pescadores,0.0,2016-05-05
Diésel 50 ppm de azufre,348.0,2016-05-05
Diésel pescadores,0.0,2016-05-05
Diésel 15,388.0,2016-05-05
Diésel térmico,0.0,2016-05-05
Diésel marino,0.0,2016-05-05
Keroseno,317.0,2016-05-05
Búnker,0.0,2016-05-05
Búnker de bajo azufre,0.0,2016-05-05
IFO 380,0.0,2016-05-05
Asfalto,0.0,2016-05-05
Diésel pesado,0.0,2016-05-05
Emulsión asfáltica,0.0,2016-05-05
LPG (70-30),225.7358,2016-05-05
LPG (rico en propano),0.0,2016-05-05
Av-Gas,804.0,2016-05-05
Jet fuel A-1,347.0,2016-05-05
Nafta Pesada,0.0,2016-05-05
Gasolina súper,503.0,2016-04-28
Gasolina plus 91,484.0,2016-04-28
Gasolina plus 91 pescadores,0.0,2016-04-28
Diésel 50 ppm de azufre,349.0,2016-04-28
Diésel pescadores,0.0,2016-04-28
Diésel 15,388.0,2016-04-28
Diésel térmico,0.0,2016-04-28
Diésel marino,0.0,2016-04-28
Keroseno,317.0,2016-04-28
Búnker,0.0,2016-04-28
Búnker de bajo azufre,0.0,2016-04-28
IFO 380,0.0,2016-04-28
Asfalto,0.0,2016-04-28
Diésel pesado,0.0,2016-04-28
Emulsión asfáltica,0.0,2016-04-28
LPG (70-30),225.7358,2016-04-28
LPG (rico en propano),0.0,2016-04-28
Av-Gas,805.0,2016-04-28
Jet fuel A-1,347.0,2016-04-28
Nafta Pesada,0.0,2016-04-28
Gasolina súper,463.0,2016-04-05
Gasolina plus 91,446.0,2016-04-05
Gasolina plus 91 pescadores,0.0,2016-04-05
Diésel 50 ppm de azufre,358.0,2016-04-05
Diésel pescadores,0.0,2016-04-05
Diésel 15,391.0,2016-04-05
Diésel térmico,0.0,2016-04-05
Diésel marino,0.0,2016-04-05
Keroseno,317.0,2016-04-05
Búnker,0.0,2016-04-05
Búnker de bajo azufre,0.0,2016-04-05
IFO 380,0.0,2016-04-05
Asfalto,0.0,2016-04-05
Diésel pesado,0.0,2016-04-05
Emulsión asfáltica,0.0,2016-04-05
LPG (70-30),227.4958,2016-04-05
LPG (rico en propano),0.0,2016-04-05
Av-Gas,713.0,2016-04-05
Jet fuel A-1,402.0,2016-04-05
Nafta Pesada,0.0,2016-04-05
Gasolina súper,445.0,2016-03-02
Gasolina plus 91,424.0,2016-03-02
Diésel 50 ppm de azufre,345.0,2016-03-02
Diésel 15,378.0,2016-03-02
Keroseno,312.0,2016-03-02
LPG (70-30),216.9558,2016-03-02
Av-Gas,694.0,2016-03-02
Jet fuel A-1,398.0,2016-03-02
Gasolina súper,560.0,2016-03-02
Gasolina plus 91,540.0,2016-03-02
Gasolina plus 91 pescadores,0.0,2016-03-02
Diésel 50 ppm de azufre,453.0,2016-03-02
Diésel pescadores,0.0,2016-03-02
Diésel 15,0.0,2016-03-02
Diésel térmico,0.0,2016-03-02
Diésel marino,0.0,2016-03-02
Keroseno,373.0,2016-03-02
Búnker,0.0,2016-03-02
Búnker de bajo azufre,0.0,2016-03-02
IFO 380,0.0,2016-03-02
Asfalto,0.0,2016-03-02
Diésel pesado,0.0,2016-03-02
Emulsión asfáltica,0.0,2016-03-02
LPG (70-30),0.0,2016-03-02
LPG (rico en propano),0.0,2016-03-02
Av-Gas,897.0,2016-03-02
Jet fuel A-1,446.0,2016-03-02
Nafta Pesada,0.0,2016-03-02
Gasolina súper,559.0,2016-02-10
Gasolina plus 91,539.0,2016-02-10
Gasolina plus 91 pescadores,0.0,2016-02-10
Diésel 50 ppm de azufre,453.0,2016-02-10
Diésel pescadores,0.0,2016-02-10
Diésel 15,0.0,2016-02-10
Diésel térmico,0.0,2016-02-10
Diésel marino,0.0,2016-02-10
Keroseno,373.0,2016-02-10
Búnker,0.0,2016-02-10
Búnker de bajo azufre,0.0,2016-02-10
IFO 380,0.0,2016-02-10
Asfalto,0.0,2016-02-10
Diésel pesado,0.0,2016-02-10
Emulsión asfáltica,0.0,2016-02-10
LPG (70-30),235.6658,2016-02-10
LPG (rico en propano),0.0,2016-02-10
Av-Gas,897.0,2016-02-10
Jet fuel A-1,445.0,2016-02-10
Nafta Pesada,0.0,2016-02-10
Gasolina súper,559.0,2016-02-05
Gasolina plus 91,536.0,2016-02-05
Gasolina plus 91 pescadores,0.0,2016-02-05
Diésel 50 ppm de azufre,448.0,2016-02-05
Diésel pescadores,0.0,2016-02-05
Diésel 15,0.0,2016-02-05
Diésel térmico,0.0,2016-02-05
Diésel marino,0.0,2016-02-05
Keroseno,384.0,2016-02-05
Búnker,0.0,2016-02-05
Búnker de bajo azufre,0.0,2016-02-05
IFO 380,0.0,2016-02-05
Asfalto,0.0,2016-02-05
Diésel pesado,0.0,2016-02-05
Emulsión asfáltica,0.0,2016-02-05
LPG (70-30),235.7658,2016-02-05
LPG (rico en propano),0.0,2016-02-05
Av-Gas,679.0,2016-02-05
Jet fuel A-1,398.0,2016-02-05
Nafta liviana,0.0,2016-02-05
Nafta Pesada,0.0,2016-02-05
Gasolina súper,559.0,2015-11-06
Gasolina plus 91,536.0,2015-11-06
Gasolina plus 91 pescadores,0.0,2015-11-06
Diésel 50 ppm de azufre,449.0,2015-11-06
Diésel pescadores,0.0,2015-11-06
Diésel 15,0.0,2015-11-06
Diésel térmico,0.0,2015-11-06
Diésel marino,0.0,2015-11-06
Keroseno,384.0,2015-11-06
Búnker,0.0,2015-11-06
Búnker de bajo azufre,0.0,2015-11-06
IFO 380,0.0,2015-11-06
Asfalto,0.0,2015-11-06
Diésel pesado,0.0,2015-11-06
Emulsión asfáltica,0.0,2015-11-06
LPG (70-30),0.0,2015-11-06
LPG (rico en propano),0.0,2015-11-06
Av-Gas,679.0,2015-11-06
Jet fuel A-1,398.0,2015-11-06
Nafta liviana,0.0,2015-11-06
Nafta Pesada,0.0,2015-11-06
Gasolina súper,561.0,2015-10-28
Gasolina plus 91,538.0,2015-10-28
Gasolina plus 91 pescadores,0.0,2015-10-28
Diésel 50 ppm de azufre,450.0,2015-10-28
Diésel pescadores,0.0,2015-10-28
Diésel 15,0.0,2015-10-28
Diésel térmico,0.0,2015-10-28
Diésel marino,0.0,2015-10-28
Keroseno,385.0,2015-10-28
Búnker,0.0,2015-10-28
Búnker de bajo azufre,0.0,2015-10-28
IFO 380,0.0,2015-10-28
Asfalto,0.0,2015-10-28
Diésel pesado,0.0,2015-10-28
Emulsión asfáltica,0.0,2015-10-28
LPG (70-30),0.0,2015-10-28
LPG (rico en propano),0.0,2015-10-28
Av-Gas,681.0,2015-10-28
Jet fuel A-1,399.0,2015-10-28
Nafta liviana,0.0,2015-10-28
Nafta Pesada,0.0,2015-10-28
Gasolina súper,562.0,2015-10-21
Gasolina plus 91,538.0,2015-10-21
Gasolina plus 91 pescadores,0.0,2015-10-21
Diésel 50 ppm de azufre,457.0,2015-10-21
Diésel pescadores,0.0,2015-10-21
Diésel 15,0.0,2015-10-21
Diésel térmico,0.0,2015-10-21
Diésel marino,0.0,2015-10-21
Keroseno,387.0,2015-10-21
Búnker,0.0,2015-10-21
Búnker de bajo azufre,0.0,2015-10-21
IFO 380,0.0,2015-10-21
Asfalto,0.0,2015-10-21
Diésel pesado,0.0,2015-10-21
Emulsión asfáltica,0.0,2015-10-21
LPG (70-30),0.0,2015-10-21
LPG (rico en propano),0.0,2015-10-21
Av-Gas,686.0,2015-10-21
Jet fuel A-1,401.0,2015-10-21
Nafta liviana,0.0,2015-10-21
Nafta Pesada,0.0,2015-10-21
Gasolina súper,563.0,2015-09-30
Gasolina plus 91,540.0,2015-09-30
Gasolina plus 91 pescadores,0.0,2015-09-30
Diésel 50 ppm de azufre,458.0,2015-09-30
Diésel pescadores,0.0,2015-09-30
Diésel 15,0.0,2015-09-30
Diésel térmico,0.0,2015-09-30
Diésel marino,0.0,2015-09-30
Keroseno,388.0,2015-09-30
Búnker,0.0,2015-09-30
Búnker de bajo azufre,0.0,2015-09-30
IFO 380,0.0,2015-09-30
Asfalto,0.0,2015-09-30
Diésel pesado,0.0,2015-09-30
Emulsión asfáltica,0.0,2015-09-30
LPG (70-30),0.0,2015-09-30
LPG (rico en propano),0.0,2015-09-30
Av-Gas,689.0,2015-09-30
Jet fuel A-1,403.0,2015-09-30
Nafta liviana,0.0,2015-09-30
Nafta Pesada,0.0,2015-09-30
Gasolina súper,635.0,2015-09-02
Gasolina plus 91,603.0,2015-09-02
Gasolina plus 91 pescadores,0.0,2015-09-02
Diésel 50 ppm de azufre,451.0,2015-09-02
Diésel pescadores,0.0,2015-09-02
Diésel 15,0.0,2015-09-02
Diésel térmico,0.0,2015-09-02
Keroseno,382.0,2015-09-02
Búnker,0.0,2015-09-02
Búnker de bajo azufre,0.0,2015-09-02
IFO 380,0.0,2015-09-02
Asfalto,0.0,2015-09-02
Diésel pesado,0.0,2015-09-02
Emulsión asfáltica,0.0,2015-09-02
LPG (70-30),0.0,2015-09-02
LPG (rico en propano),0.0,2015-09-02
Av-Gas,761.0,2015-09-02
Jet fuel A-1,397.0,2015-09-02
Nafta liviana,0.0,2015-09-02
Nafta Pesada,0.0,2015-09-02
Gasolina súper,679.0,2015-08-27
Gasolina plus 91,642.0,2015-08-27
Gasolina plus 91 pescadores,0.0,2015-08-27
Diésel 50 ppm de azufre,479.0,2015-08-27
Diésel pescadores,0.0,2015-08-27
Diésel 15,0.0,2015-08-27
Diésel térmico,0.0,2015-08-27
Keroseno,408.0,2015-08-27
Búnker,0.0,2015-08-27
Búnker de bajo azufre,0.0,2015-08-27
IFO 380,0.0,2015-08-27
Asfalto,0.0,2015-08-27
Diésel pesado,0.0,2015-08-27
Emulsión asfáltica,0.0,2015-08-27
LPG (70-30),0.0,2015-08-27
LPG (rico en propano),0.0,2015-08-27
Av-Gas,764.0,2015-08-27
Jet fuel A-1,422.0,2015-08-27
Nafta liviana,0.0,2015-08-27
Nafta Pesada,0.0,2015-08-27
Gasolina súper,0.0,2015-08-10
Gasolina plus 91,0.0,2015-08-10
Diésel 50 ppm de azufre,0.0,2015-08-10
Diésel 15,0.0,2015-08-10
Diésel térmico,0.0,2015-08-10
Keroseno,0.0,2015-08-10
Búnker,0.0,2015-08-10
Búnker de bajo azufre,0.0,2015-08-10
IFO 380,0.0,2015-08-10
Asfalto,0.0,2015-08-10
Diésel pesado,0.0,2015-08-10
Emulsión asfáltica,0.0,2015-08-10
LPG (70-30),0.0,2015-08-10
LPG (rico en propano),0.0,2015-08-10
Av-Gas,0.0,2015-08-10
Jet fuel A-1,0.0,2015-08-10
Nafta liviana,0.0,2015-08-10
Nafta Pesada,0.0,2015-08-10
Gasolina súper,676.0,2015-08-06
Gasolina plus 91,639.0,2015-08-06
Gasolina plus 91 pescadores,0.0,2015-08-06
Diésel 50 ppm de azufre,477.0,2015-08-06
Diésel pescadores,0.0,2015-08-06
Diésel 15,0.0,2015-08-06
Diésel térmico,0.0,2015-08-06
Keroseno,406.0,2015-08-06
Búnker,0.0,2015-08-06
Búnker de bajo azufre,0.0,2015-08-06
IFO 380,0.0,2015-08-06
Asfalto,0.0,2015-08-06
Diésel pesado,0.0,2015-08-06
Emulsión asfáltica,0.0,2015-08-06
LPG (70-30),0.0,2015-08-06
LPG (rico en propano),0.0,2015-08-06
Av-Gas,759.0,2015-08-06
Jet fuel A-1,420.0,2015-08-06
Nafta liviana,0.0,2015-08-06
Nafta Pesada,0.0,2015-08-06
Gasolina súper,676.0,2015-07-30
Gasolina plus 91,639.0,2015-07-30
Gasolina plus 91 pescadores,0.0,2015-07-30
Diésel 50 ppm de azufre,477.0,2015-07-30
Diésel pescadores,0.0,2015-07-30
Diésel 15,0.0,2015-07-30
Diésel térmico,0.0,2015-07-30
Keroseno,406.0,2015-07-30
Búnker,0.0,2015-07-30
Búnker de bajo azufre,0.0,2015-07-30
IFO 380,0.0,2015-07-30
Asfalto,0.0,2015-07-30
Diésel pesado,0.0,2015-07-30
Emulsión asfáltica,0.0,2015-07-30
LPG (70-30),0.0,2015-07-30
LPG (rico en propano),0.0,2015-07-30
Av-Gas,759.0,2015-07-30
Jet fuel A-1,420.0,2015-07-30
Nafta liviana,0.0,2015-07-30
Nafta Pesada,0.0,2015-07-30
Gasolina súper,672.0,2015-07-02
Gasolina plus 91,636.0,2015-07-02
Gasolina plus 91 pescadores,0.0,2015-07-02
Diésel 50 ppm de azufre,498.0,2015-07-02
Diésel pescadores,0.0,2015-07-02
Diésel 15,0.0,2015-07-02
Diésel térmico,0.0,2015-07-02
Keroseno,429.0,2015-07-02
Búnker,0.0,2015-07-02
Búnker de bajo azufre,0.0,2015-07-02
IFO 380,0.0,2015-07-02
Asfalto,0.0,2015-07-02
Diésel pesado,0.0,2015-07-02
Emulsión asfáltica,0.0,2015-07-02
LPG (70-30),0.0,2015-07-02
LPG (rico en propano),0.0,2015-07-02
Av-Gas,747.0,2015-07-02
Jet fuel A-1,443.0,2015-07-02
Nafta liviana,0.0,2015-07-02
Nafta Pesada,0.0,2015-07-02
Gasolina súper,643.0,2015-05-28
Gasolina plus 91,610.0,2015-05-28
Gasolina plus 91 pescadores,0.0,2015-05-28
Diésel 50 ppm de azufre,514.0,2015-05-28
Diésel pescadores,0.0,2015-05-28
Diésel 15,0.0,2015-05-28
Diésel térmico,0.0,2015-05-28
Keroseno,441.0,2015-05-28
Búnker,0.0,2015-05-28
Búnker de bajo azufre,0.0,2015-05-28
IFO 380,0.0,2015-05-28
Asfalto,0.0,2015-05-28
Diésel pesado,0.0,2015-05-28
Emulsión asfáltica,0.0,2015-05-28
LPG (70-30),0.0,2015-05-28
LPG (rico en propano),0.0,2015-05-28
Av-Gas,819.0,2015-05-28
Jet fuel A-1,465.0,2015-05-28
Nafta liviana,0.0,2015-05-28
Nafta Pesada,0.0,2015-05-28
Gasolina súper,600.0,2015-04-29
Gasolina plus 91,575.0,2015-04-29
Gasolina plus 91 pescadores,0.0,2015-04-29
Diésel 50 ppm de azufre,478.0,2015-04-29
Diésel pescadores,0.0,2015-04-29
Diésel 15,0.0,2015-04-29
Diésel térmico,0.0,2015-04-29
Keroseno,406.0,2015-04-29
Búnker,0.0,2015-04-29
Búnker de bajo azufre,0.0,2015-04-29
IFO 380,0.0,2015-04-29
Asfalto,0.0,2015-04-29
Diésel pesado,0.0,2015-04-29
Emulsión asfáltica,0.0,2015-04-29
LPG (70-30),0.0,2015-04-29
LPG (rico en propano),0.0,2015-04-29
Av-Gas,792.0,2015-04-29
Jet fuel A-1,430.0,2015-04-29
Nafta liviana,0.0,2015-04-29
Nafta Pesada,0.0,2015-04-29
Av-Gas,756.0,2015-04-08
Gasolina súper,601.0,2015-04-08
Gasolina plus 91,574.0,2015-04-08
Gasolina plus 91 pescadores,0.0,2015-04-08
Diésel 50 ppm de azufre,500.0,2015-04-08
Diésel pescadores,0.0,2015-04-08
Diésel 15,0.0,2015-04-08
Diésel térmico,0.0,2015-04-08
Keroseno,426.0,2015-04-08
Búnker,0.0,2015-04-08
Búnker de bajo azufre,0.0,2015-04-08
IFO 380,0.0,2015-04-08
Asfalto,0.0,2015-04-08
Diésel pesado,0.0,2015-04-08
Emulsión asfáltica,0.0,2015-04-08
LPG (70-30),0.0,2015-04-08
LPG (rico en propano),0.0,2015-04-08
Av-Gas,803.0,2015-04-08
Jet fuel A-1,450.0,2015-04-08
Nafta liviana,0.0,2015-04-08
Nafta Pesada,0.0,2015-04-08
Gasolina súper,570.0,2015-03-09
Gasolina plus 91,545.0,2015-03-09
Gasolina plus 91 pescadores,0.0,2015-03-09
Diésel 50 ppm de azufre,493.0,2015-03-09
Diésel pescadores,0.0,2015-03-09
Diésel 15,0.0,2015-03-09
Diésel térmico,0.0,2015-03-09
Keroseno,423.0,2015-03-09
Búnker,0.0,2015-03-09
Búnker de bajo azufre,0.0,2015-03-09
IFO 380,0.0,2015-03-09
Asfalto,0.0,2015-03-09
Diésel pesado,0.0,2015-03-09
Emulsión asfáltica,0.0,2015-03-09
LPG (70-30),0.0,2015-03-09
LPG (rico en propano),0.0,2015-03-09
Av-Gas,757.0,2015-03-09
Jet fuel A-1,447.0,2015-03-09
Nafta liviana,0.0,2015-03-09
Nafta Pesada,0.0,2015-03-09
Gasolina súper,536.0,2015-02-05
Gasolina plus 91,503.0,2015-02-05
Gasolina plus 91 pescadores,0.0,2015-02-05
Diésel 50 ppm de azufre,474.0,2015-02-05
Diésel pescadores,0.0,2015-02-05
Diésel 15,0.0,2015-02-05
Diésel térmico,0.0,2015-02-05
Keroseno,412.0,2015-02-05
Búnker,0.0,2015-02-05
Búnker de bajo azufre,0.0,2015-02-05
IFO 380,0.0,2015-02-05
Asfalto,0.0,2015-02-05
Diésel pesado,0.0,2015-02-05
Emulsión asfáltica,0.0,2015-02-05
LPG (70-30),0.0,2015-02-05
LPG (rico en propano),0.0,2015-02-05
Av-Gas,1179.0,2015-02-05
Jet fuel A-1,436.0,2015-02-05
Nafta liviana,0.0,2015-02-05
Nafta Pesada,0.0,2015-02-05
Gasolina súper,537.0,2015-01-27
Gasolina plus 91,503.0,2015-01-27
Gasolina plus 91 pescadores,0.0,2015-01-27
Diésel 50 ppm de azufre,474.0,2015-01-27
Diésel pescadores,0.0,2015-01-27
Diésel 15,0.0,2015-01-27
Diésel térmico,0.0,2015-01-27
Keroseno,413.0,2015-01-27
Búnker,0.0,2015-01-27
Búnker de bajo azufre,0.0,2015-01-27
IFO 380,0.0,2015-01-27
Asfalto,0.0,2015-01-27
Diésel pesado,0.0,2015-01-27
Emulsión asfáltica,0.0,2015-01-27
LPG (70-30),0.0,2015-01-27
LPG (rico en propano),0.0,2015-01-27
Av-Gas,1179.0,2015-01-27
Jet fuel A-1,437.0,2015-01-27
Nafta liviana,0.0,2015-01-27
Nafta Pesada,0.0,2015-01-27
Gasolina súper,580.0,2015-01-14
Gasolina plus 91,552.0,2015-01-14
Gasolina plus 91 pescadores,0.0,2015-01-14
Diésel 50 ppm de azufre,522.0,2015-01-14
Diésel pescadores,0.0,2015-01-14
Diésel 15,0.0,2015-01-14
Diésel térmico,0.0,2015-01-14
Keroseno,465.0,2015-01-14
Búnker,0.0,2015-01-14
Búnker de bajo azufre,0.0,2015-01-14
IFO 380,0.0,2015-01-14
Asfalto,0.0,2015-01-14
Diésel pesado,0.0,2015-01-14
Emulsión asfáltica,0.0,2015-01-14
LPG (70-30),0.0,2015-01-14
LPG (rico en propano),0.0,2015-01-14
Av-Gas,1135.0,2015-01-14
Jet fuel A-1,488.0,2015-01-14
Nafta liviana,0.0,2015-01-14
Nafta Pesada,0.0,2015-01-14
Gasolina súper,689.0,2014-12-04
Gasolina plus 91,655.0,2014-12-04
Gasolina plus 91 pescadores,0.0,2014-12-04
Diésel 50 ppm de azufre,607.0,2014-12-04
Diésel pescadores,0.0,2014-12-04
Diésel 15,0.0,2014-12-04
Diésel térmico,0.0,2014-12-04
Keroseno,530.0,2014-12-04
Búnker,0.0,2014-12-04
Búnker de bajo azufre,0.0,2014-12-04
IFO 380,0.0,2014-12-04
Asfalto,0.0,2014-12-04
Diésel pesado,0.0,2014-12-04
Emulsión asfáltica,0.0,2014-12-04
LPG (70-30),0.0,2014-12-04
LPG (rico en propano),0.0,2014-12-04
Av-Gas,1075.0,2014-12-04
Jet fuel A-1,565.0,2014-12-04
Nafta liviana,0.0,2014-12-04
Nafta Pesada,0.0,2014-12-04
Gasolina súper,757.0,2014-11-07
Gasolina plus 91,720.0,2014-11-07
Gasolina plus 91 pescadores,0.0,2014-11-07
Diésel 50 ppm de azufre,636.0,2014-11-07
Diésel pescadores,0.0,2014-11-07
Diésel 15,0.0,2014-11-07
Diésel térmico,0.0,2014-11-07
Keroseno,561.0,2014-11-07
Búnker,0.0,2014-11-07
Búnker de bajo azufre,0.0,2014-11-07
IFO 380,0.0,2014-11-07
Asfalto,0.0,2014-11-07
Diésel pesado,0.0,2014-11-07
Emulsión asfáltica,0.0,2014-11-07
LPG (70-30),0.0,2014-11-07
LPG (rico en propano),0.0,2014-11-07
Av-Gas,1063.0,2014-11-07
Jet fuel A-1,596.0,2014-11-07
Nafta liviana,0.0,2014-11-07
Nafta Pesada,0.0,2014-11-07
Gasolina súper,755.0,2014-10-29
Gasolina plus 91,717.0,2014-10-29
Gasolina plus 91 pescadores,0.0,2014-10-29
Diésel 50 ppm de azufre,634.0,2014-10-29
Diésel pescadores,0.0,2014-10-29
Diésel 15,0.0,2014-10-29
Diésel térmico,0.0,2014-10-29
Keroseno,560.0,2014-10-29
Búnker,0.0,2014-10-29
Búnker de bajo azufre,0.0,2014-10-29
IFO 380,0.0,2014-10-29
Asfalto,0.0,2014-10-29
Diésel pesado,0.0,2014-10-29
Emulsión asfáltica,0.0,2014-10-29
LPG (70-30),0.0,2014-10-29
LPG (rico en propano),0.0,2014-10-29
Av-Gas,1061.0,2014-10-29
Jet fuel A-1,594.0,2014-10-29
Nafta liviana,0.0,2014-10-29
Nafta Pesada,0.0,2014-10-29
Gasolina súper,777.0,2014-10-02
Gasolina plus 91,744.0,2014-10-02
Gasolina plus 91 pescadores,0.0,2014-10-02
Diésel 50 ppm de azufre,658.0,2014-10-02
Diésel pescadores,0.0,2014-10-02
Diésel 15,0.0,2014-10-02
Diésel térmico,0.0,2014-10-02
Keroseno,594.0,2014-10-02
Búnker,0.0,2014-10-02
Búnker de bajo azufre,0.0,2014-10-02
IFO 380,0.0,2014-10-02
Asfalto,0.0,2014-10-02
Diésel pesado,0.0,2014-10-02
Emulsión asfáltica,0.0,2014-10-02
LPG (70-30),0.0,2014-10-02
LPG (rico en propano),0.0,2014-10-02
Av-Gas,1053.0,2014-10-02
Jet fuel A-1,628.0,2014-10-02
Nafta liviana,0.0,2014-10-02
Nafta Pesada,0.0,2014-10-02
Gasolina súper,779.0,2014-09-19
Gasolina plus 91,757.0,2014-09-19
Gasolina plus 91 pescadores,0.0,2014-09-19
Diésel 50 ppm de azufre,669.0,2014-09-19
Diésel pescadores,0.0,2014-09-19
Diésel 15,0.0,2014-09-19
Diésel térmico,0.0,2014-09-19
Keroseno,597.0,2014-09-19
Búnker,0.0,2014-09-19
Búnker de bajo azufre,0.0,2014-09-19
IFO 380,0.0,2014-09-19
Asfalto,0.0,2014-09-19
Diésel pesado,0.0,2014-09-19
Emulsión asfáltica,0.0,2014-09-19
LPG (70-30),0.0,2014-09-19
LPG (rico en propano),0.0,2014-09-19
Av-Gas,1052.0,2014-09-19
Jet fuel A-1,631.0,2014-09-19
Nafta liviana,0.0,2014-09-19
Nafta Pesada,0.0,2014-09-19
Nafta liviana,0.0,2014-09-10
Nafta Pesada,0.0,2014-09-10
Gasolina súper,774.0,2014-08-27
Gasolina plus 91,752.0,2014-08-27
Gasolina plus 91 pescadores,0.0,2014-08-27
Diésel 50 ppm de azufre,666.0,2014-08-27
Diésel pescadores,0.0,2014-08-27
Diésel 15,0.0,2014-08-27
Diésel térmico,0.0,2014-08-27
Keroseno,596.0,2014-08-27
Búnker,0.0,2014-08-27
Búnker de bajo azufre,0.0,2014-08-27
IFO 380,0.0,2014-08-27
Asfalto,0.0,2014-08-27
Diésel pesado,0.0,2014-08-27
Emulsión asfáltica,0.0,2014-08-27
LPG (70-30),0.0,2014-08-27
LPG (rico en propano),0.0,2014-08-27
Av-Gas,1047.0,2014-08-27
Jet fuel A-1,629.0,2014-08-27
Nafta liviana,0.0,2014-08-27
Nafta Pesada,0.0,2014-08-27
Gasolina súper,810.0,2014-07-31
Gasolina plus 91,782.0,2014-07-31
Gasolina plus 91 pescadores,0.0,2014-07-31
Diésel 50 ppm de azufre,667.0,2014-07-31
Diésel pescadores,0.0,2014-07-31
Diésel 15,0.0,2014-07-31
Diésel térmico,0.0,2014-07-31
Keroseno,591.0,2014-07-31
Búnker,0.0,2014-07-31
Búnker de bajo azufre,0.0,2014-07-31
IFO 380,0.0,2014-07-31
Asfalto,0.0,2014-07-31
Diésel pesado,0.0,2014-07-31
Emulsión asfáltica,0.0,2014-07-31
LPG (70-30),0.0,2014-07-31
LPG (rico en propano),0.0,2014-07-31
Av-Gas,1038.0,2014-07-31
Jet fuel A-1,623.0,2014-07-31
Nafta liviana,0.0,2014-07-31
Nafta Pesada,0.0,2014-07-31
Gasolina súper,816.0,2014-07-03
Gasolina plus 91,788.0,2014-07-03
Gasolina plus 91 pescadores,0.0,2014-07-03
Diésel 50 ppm de azufre,676.0,2014-07-03
Diésel pescadores,0.0,2014-07-03
Diésel 15,0.0,2014-07-03
Diésel térmico,0.0,2014-07-03
Keroseno,600.0,2014-07-03
Búnker,0.0,2014-07-03
Búnker de bajo azufre,0.0,2014-07-03
IFO 380,0.0,2014-07-03
Asfalto,0.0,2014-07-03
Diésel pesado,0.0,2014-07-03
Emulsión asfáltica,0.0,2014-07-03
LPG (70-30),0.0,2014-07-03
LPG (rico en propano),0.0,2014-07-03
Av-Gas,1062.0,2014-07-03
Jet fuel A-1,633.0,2014-07-03
Nafta liviana,0.0,2014-07-03
Nafta Pesada,0.0,2014-07-03
Gasolina súper,787.0,2014-06-12
Gasolina plus 91,761.0,2014-06-12
Diésel 50 ppm de azufre,689.0,2014-06-12
